customerID,customerName,country,segment,total_revenue,order_count,avg_order_value,first_purchase_date,last_purchase_date,products_purchased,recommended_action,next_best_action,behavior_signal,recency_days,churn_risk,churn_risk_label,r_score,f_score,m_score,rfm_score,rfm_label,rfm_segment,status_label
QUICK,QUICK-Stop,Germany,High Value,110277.31,28,3938.48,1996-08-05 00:00:00.000,1998-04-14 00:00:00.000,"Aniseed Syrup, Boston Crab Meat, Camembert Pierrot, Carnarvon Tigers, Chai, Chang, Chartreuse verte, Chef Anton's Cajun Seasoning, Côte de Blaye, Escargots de Bourgogne, Flotemysost, Geitost, Gorgonzola Telino, Gudbrandsdalsost, Gula Malacca, Gumbär Gummibärchen, Ikura, Inlagd Sill, Ipoh Coffee, Konbu, Lakkalikööri, Longlife Tofu, Louisiana Fiery Hot Pepper Sauce, Manjimup Dried Apples, Mishi Kobe Niku, Mozzarella di Giovanni, Northwoods Cranberry Sauce, Original Frankfurter grüne Soße, Outback Lager, Pavlova, Perth Pasties, Pâté chinois, Raclette Courdavault, Rhönbräu Klosterbier, Rogede sild, Schoggi Schokolade, Scottish Longbreads, Singaporean Hokkien Fried Mee, Sir Rodney's Marmalade, Sir Rodney's Scones, Sirop d'érable, Steeleye Stout, Tarte au sucre, Teatime Chocolate Biscuits, Thüringer Rostbratwurst, Tunnbröd, Uncle Bob's Organic Dried Pears, Wimmers gute Semmelknödel, Zaanse koeken",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,22,25,Low,3,5,5,355,355,Loyal Customers,Active
ERNSH,Ernst Handel,Austria,High Value,104874.98,30,3495.83,1996-07-17 00:00:00.000,1998-05-05 00:00:00.000,"Alice Mutton, Aniseed Syrup, Boston Crab Meat, Camembert Pierrot, Carnarvon Tigers, Chang, Chartreuse verte, Chef Anton's Gumbo Mix, Chocolade, Côte de Blaye, Flotemysost, Geitost, Gnocchi di nonna Alice, Gorgonzola Telino, Guaraná Fantástica, Gudbrandsdalsost, Gula Malacca, Gumbär Gummibärchen, Gustaf's Knäckebröd, Ikura, Jack's New England Clam Chowder, Konbu, Longlife Tofu, Louisiana Fiery Hot Pepper Sauce, Louisiana Hot Spiced Okra, Manjimup Dried Apples, Mascarpone Fabioli, Mozzarella di Giovanni, Nord-Ost Matjeshering, Outback Lager, Pavlova, Pâté chinois, Queso Cabrales, Queso Manchego La Pastora, Raclette Courdavault, Ravioli Angelo, Rhönbräu Klosterbier, Rogede sild, Rössle Sauerkraut, Sasquatch Ale, Schoggi Schokolade, Singaporean Hokkien Fried Mee, Sir Rodney's Marmalade, Sir Rodney's Scones, Sirop d'érable, Spegesild, Steeleye Stout, Tarte au sucre, Thüringer Rostbratwurst, Tofu, Tourtière, Tunnbröd, Uncle Bob's Organic Dried Pears, Valkoinen suklaa, Vegie-spread, Wimmers gute Semmelknödel",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,1,29,Low,5,5,5,555,555,Champions,Active
SAVEA,Save-a-lot Markets,USA,High Value,104361.95,31,3366.51,1996-10-08 00:00:00.000,1998-05-01 00:00:00.000,"Alice Mutton, Boston Crab Meat, Camembert Pierrot, Chai, Chang, Chef Anton's Gumbo Mix, Escargots de Bourgogne, Flotemysost, Geitost, Genen Shouyu, Gnocchi di nonna Alice, Gorgonzola Telino, Gravad lax, Guaraná Fantástica, Gudbrandsdalsost, Gula Malacca, Gumbär Gummibärchen, Gustaf's Knäckebröd, Ikura, Inlagd Sill, Jack's New England Clam Chowder, Konbu, Lakkalikööri, Manjimup Dried Apples, Maxilaku, Mozzarella di Giovanni, NuNuCa Nuß-Nougat-Creme, Pavlova, Perth Pasties, Pâté chinois, Queso Manchego La Pastora, Raclette Courdavault, Ravioli Angelo, Rhönbräu Klosterbier, Rogede sild, Röd Kaviar, Rössle Sauerkraut, Sasquatch Ale, Scottish Longbreads, Singaporean Hokkien Fried Mee, Sirop d'érable, Spegesild, Steeleye Stout, Tarte au sucre, Teatime Chocolate Biscuits, Thüringer Rostbratwurst, Tofu, Tourtière, Tunnbröd, Uncle Bob's Organic Dried Pears, Vegie-spread, Wimmers gute Semmelknödel, Zaanse koeken",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,5,29,Low,5,5,5,555,555,Champions,Active
RATTC,Rattlesnake Canyon Grocery,USA,High Value,51097.8,18,2838.77,1996-07-22 00:00:00.000,1998-05-06 00:00:00.000,"Alice Mutton, Aniseed Syrup, Camembert Pierrot, Chai, Chang, Chartreuse verte, Chef Anton's Cajun Seasoning, Chef Anton's Gumbo Mix, Côte de Blaye, Escargots de Bourgogne, Filo Mix, Flotemysost, Gnocchi di nonna Alice, Gorgonzola Telino, Grandma's Boysenberry Spread, Guaraná Fantástica, Ikura, Ipoh Coffee, Jack's New England Clam Chowder, Konbu, Lakkalikööri, Louisiana Fiery Hot Pepper Sauce, Louisiana Hot Spiced Okra, Mascarpone Fabioli, Mozzarella di Giovanni, Nord-Ost Matjeshering, Northwoods Cranberry Sauce, NuNuCa Nuß-Nougat-Creme, Original Frankfurter grüne Soße, Pavlova, Perth Pasties, Pâté chinois, Queso Cabrales, Queso Manchego La Pastora, Raclette Courdavault, Rhönbräu Klosterbier, Röd Kaviar, Schoggi Schokolade, Sir Rodney's Marmalade, Spegesild, Tarte au sucre, Tofu, Tunnbröd, Uncle Bob's Organic Dried Pears, Wimmers gute Semmelknödel",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,0,30,Low,5,5,5,555,555,Champions,Active
HUNGO,Hungry Owl All-Night Grocers,Ireland,High Value,49979.91,19,2630.52,1996-09-05 00:00:00.000,1998-04-30 00:00:00.000,"Boston Crab Meat, Camembert Pierrot, Carnarvon Tigers, Chai, Chang, Chartreuse verte, Chef Anton's Cajun Seasoning, Escargots de Bourgogne, Flotemysost, Gnocchi di nonna Alice, Gorgonzola Telino, Grandma's Boysenberry Spread, Ikura, Inlagd Sill, Ipoh Coffee, Jack's New England Clam Chowder, Lakkalikööri, Louisiana Fiery Hot Pepper Sauce, Manjimup Dried Apples, Mascarpone Fabioli, Mishi Kobe Niku, Nord-Ost Matjeshering, Original Frankfurter grüne Soße, Outback Lager, Pavlova, Perth Pasties, Queso Cabrales, Raclette Courdavault, Rhönbräu Klosterbier, Sasquatch Ale, Singaporean Hokkien Fried Mee, Tarte au sucre, Thüringer Rostbratwurst, Tofu, Valkoinen suklaa, Vegie-spread",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,6,28,Low,5,5,5,555,555,Champions,Active
HANAR,Hanari Carnes,Brazil,High Value,32841.37,14,2345.81,1996-07-08 00:00:00.000,1998-04-27 00:00:00.000,"Alice Mutton, Carnarvon Tigers, Chartreuse verte, Côte de Blaye, Filo Mix, Flotemysost, Gnocchi di nonna Alice, Gorgonzola Telino, Guaraná Fantástica, Gudbrandsdalsost, Ikura, Inlagd Sill, Ipoh Coffee, Jack's New England Clam Chowder, Konbu, Louisiana Fiery Hot Pepper Sauce, Manjimup Dried Apples, Maxilaku, Original Frankfurter grüne Soße, Queso Cabrales, Scottish Longbreads, Sirop d'érable, Teatime Chocolate Biscuits",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,9,28,Low,4,5,5,455,455,Champions,Active
KOENE,Königlich Essen,Germany,High Value,30908.38,14,2207.74,1996-10-07 00:00:00.000,1998-04-16 00:00:00.000,"Aniseed Syrup, Boston Crab Meat, Chartreuse verte, Côte de Blaye, Genen Shouyu, Gorgonzola Telino, Grandma's Boysenberry Spread, Guaraná Fantástica, Gumbär Gummibärchen, Inlagd Sill, Ipoh Coffee, Konbu, Lakkalikööri, Maxilaku, Mozzarella di Giovanni, Nord-Ost Matjeshering, Northwoods Cranberry Sauce, NuNuCa Nuß-Nougat-Creme, Outback Lager, Pavlova, Pâté chinois, Queso Cabrales, Queso Manchego La Pastora, Raclette Courdavault, Sir Rodney's Scones, Tarte au sucre, Thüringer Rostbratwurst, Tofu, Tourtière",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,20,26,Low,3,5,5,355,355,Loyal Customers,Active
FOLKO,Folk och fä HB,Sweden,High Value,29567.56,19,1556.19,1996-07-24 00:00:00.000,1998-04-27 00:00:00.000,"Chang, Chartreuse verte, Chef Anton's Cajun Seasoning, Escargots de Bourgogne, Flotemysost, Gnocchi di nonna Alice, Gorgonzola Telino, Gula Malacca, Gustaf's Knäckebröd, Jack's New England Clam Chowder, Lakkalikööri, Louisiana Hot Spiced Okra, Manjimup Dried Apples, Mozzarella di Giovanni, Nord-Ost Matjeshering, Outback Lager, Pâté chinois, Queso Cabrales, Raclette Courdavault, Rhönbräu Klosterbier, Röd Kaviar, Scottish Longbreads, Sirop d'érable, Spegesild, Tarte au sucre, Thüringer Rostbratwurst, Tunnbröd, Uncle Bob's Organic Dried Pears, Vegie-spread, Zaanse koeken",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,9,28,Low,4,5,5,455,455,Champions,Active
MEREP,Mère Paillarde,Canada,High Value,28872.19,13,2220.94,1996-10-17 00:00:00.000,1997-10-30 00:00:00.000,"Alice Mutton, Camembert Pierrot, Carnarvon Tigers, Chai, Chef Anton's Cajun Seasoning, Côte de Blaye, Flotemysost, Gnocchi di nonna Alice, Gorgonzola Telino, Grandma's Boysenberry Spread, Guaraná Fantástica, Gustaf's Knäckebröd, Ikura, Longlife Tofu, Original Frankfurter grüne Soße, Pavlova, Queso Cabrales, Queso Manchego La Pastora, Raclette Courdavault, Scottish Longbreads, Singaporean Hokkien Fried Mee, Sir Rodney's Scones, Sirop d'érable, Steeleye Stout, Tarte au sucre, Wimmers gute Semmelknödel, Zaanse koeken",Retention – VIP reactivation,Retention – VIP reactivation,Inactive,188,100,Critical,1,4,5,145,145,At Risk,Inactive
WHITC,White Clover Markets,USA,High Value,27363.6,14,1954.54,1996-07-31 00:00:00.000,1998-05-01 00:00:00.000,"Alice Mutton, Carnarvon Tigers, Chang, Chef Anton's Cajun Seasoning, Côte de Blaye, Escargots de Bourgogne, Geitost, Gnocchi di nonna Alice, Gudbrandsdalsost, Gula Malacca, Gumbär Gummibärchen, Inlagd Sill, Mishi Kobe Niku, Mozzarella di Giovanni, Northwoods Cranberry Sauce, Original Frankfurter grüne Soße, Pavlova, Perth Pasties, Raclette Courdavault, Rhönbräu Klosterbier, Rogede sild, Röd Kaviar, Rössle Sauerkraut, Sasquatch Ale, Sir Rodney's Scones, Sirop d'érable, Spegesild, Steeleye Stout, Tarte au sucre, Teatime Chocolate Biscuits, Tourtière, Vegie-spread",Upsell – cross-sell to high-value products,Upsell – cross-sell to high-value products,Active,5,29,Low,5,5,5,555,555,Champions,Active
